Профиль №1  с 01.01.2022 по 31.01.2022
Счетчик № 0816190453
Сохранен 06.02.2022 7:53:08

Дата	Время	A+, кВт	A-, кВт	R+, квар	R-, квар	Статус
04.01.2022	03:00-04:00	000,0861	000,0000	000,0450	000,0000	
04.01.2022	04:00-05:00	000,0836	000,0000	000,0438	000,0000	
04.01.2022	05:00-06:00	000,0835	000,0000	000,0444	000,0000	
04.01.2022	06:00-07:00	000,1041	000,0000	000,0504	000,0000	
04.01.2022	07:00-08:00	000,1183	000,0000	000,0540	000,0000	
04.01.2022	08:00-09:00	000,1012	000,0000	000,0477	000,0000	
04.01.2022	09:00-10:00	000,0932	000,0000	000,0456	000,0000	
04.01.2022	10:00-11:00	000,0853	000,0000	000,0468	000,0000	
04.01.2022	11:00-12:00	000,0855	000,0000	000,0477	000,0000	
04.01.2022	12:00-13:00	000,0852	000,0000	000,0463	000,0000	
04.01.2022	13:00-14:00	000,0836	000,0000	000,0446	000,0000	
04.01.2022	14:00-15:00	000,0821	000,0000	000,0454	000,0000	
04.01.2022	15:00-16:00	000,0793	000,0000	000,0454	000,0000	
04.01.2022	16:00-17:00	000,0859	000,0000	000,0448	000,0000	
04.01.2022	17:00-18:00	000,0932	000,0000	000,0477	000,0000	
04.01.2022	18:00-19:00	000,0892	000,0000	000,0457	000,0000	
04.01.2022	19:00-20:00	000,1344	000,0000	000,0602	000,0000	
04.01.2022	20:00-21:00	000,0529	000,0000	000,0309	000,0000	
04.01.2022	21:00-22:00	000,0522	000,0000	000,0288	000,0000	
04.01.2022	22:00-23:00	000,1278	000,0000	000,0572	000,0000	
04.01.2022	23:00-24:00	000,1424	000,0000	000,0620	000,0000	
05.01.2022	00:00-01:00	000,0790	000,0000	000,0379	000,0000	
05.01.2022	01:00-02:00	000,0572	000,0000	000,0306	000,0000	
05.01.2022	02:00-03:00	000,0674	000,0000	000,0365	000,0000	
05.01.2022	03:00-04:00	000,1302	000,0000	000,0572	000,0000	
05.01.2022	04:00-05:00	000,0925	000,0000	000,0419	000,0000	
05.01.2022	05:00-06:00	000,0474	000,0000	000,0269	000,0000	
05.01.2022	06:00-07:00	000,0832	000,0000	000,0398	000,0000	
05.01.2022	07:00-08:00	000,0891	000,0000	000,0406	000,0000	
05.01.2022	08:00-09:00	000,0844	000,0000	000,0409	000,0000	
05.01.2022	09:00-10:00	000,0834	000,0000	000,0405	000,0000	
05.01.2022	10:00-11:00	000,0720	000,0000	000,0346	000,0000	
05.01.2022	11:00-12:00	000,0767	000,0000	000,0375	000,0000	
05.01.2022	12:00-13:00	000,0554	000,0000	000,0292	000,0000	
05.01.2022	13:00-14:00	000,0454	000,0000	000,0255	000,0000	
05.01.2022	14:00-15:00	000,0489	000,0000	000,0272	000,0000	
05.01.2022	15:00-16:00	000,0494	000,0000	000,0271	000,0000	
05.01.2022	16:00-17:00	000,0522	000,0000	000,0296	000,0000	
05.01.2022	17:00-18:00	000,0522	000,0000	000,0289	000,0000	
05.01.2022	18:00-19:00	000,0553	000,0000	000,0294	000,0000	
05.01.2022	19:00-20:00	000,0529	000,0000	000,0298	000,0000	
05.01.2022	20:00-21:00	000,0580	000,0000	000,0306	000,0000	
05.01.2022	21:00-22:00	000,0755	000,0000	000,0385	000,0000	
05.01.2022	22:00-23:00	000,0908	000,0000	000,0444	000,0000	
05.01.2022	23:00-24:00	000,1457	000,0000	000,0643	000,0000	
